::1 - - [03/Feb/2018:15:43:03 +0800] "GET /wordpress/wp-admin/load-scripts.php?c=1&load%5B%5D=jquery-core,jquery-migrate,underscore,wp-a11y,wp-util,jquery-ui-core,jquery-ui-widget,jquery-ui-mouse,jquery-ui-sortable,jquery-&load%5B%5D=ui-draggable,jquery-ui-droppable,backbone,wp-backbone,wp-ajax-response,jquery-color,wp-lists,postbox,nav-menu,shortcode,utils,me&load%5B%5D=dia-models,moxiejs,plupload,wp-plupload&ver=4.9.2 HTTP/1.1" 200 134171
::1 - - [03/Feb/2018:15:43:03 +0800] "GET /wordpress/wp-includes/js/mediaelement/mediaelement-migrate.min.js?ver=4.9.2 HTTP/1.1" 200 1193
::1 - - [03/Feb/2018:15:43:03 +0800] "GET /wordpress/wp-includes/js/mediaelement/wp-mediaelement.min.js?ver=4.9.2 HTTP/1.1" 200 733
::1 - - [03/Feb/2018:15:43:03 +0800] "GET /wordpress/wp-includes/js/api-request.min.js?ver=4.9.2 HTTP/1.1" 200 697
::1 - - [03/Feb/2018:15:43:03 +0800] "GET /wordpress/wp-includes/js/media-views.min.js?ver=4.9.2 HTTP/1.1" 200 100522
::1 - - [03/Feb/2018:15:43:03 +0800] "GET /wordpress/wp-includes/js/media-editor.min.js?ver=4.9.2 HTTP/1.1" 200 10905
::1 - - [03/Feb/2018:15:43:03 +0800] "GET /wordpress/wp-includes/js/media-audiovideo.min.js?ver=4.9.2 HTTP/1.1" 200 12373
::1 - - [03/Feb/2018:15:43:03 +0800] "GET /wordpress/wp-admin/js/code-editor.min.js?ver=4.9.2 HTTP/1.1" 200 3169
::1 - - [03/Feb/2018:15:43:03 +0800] "GET /wordpress/wp-includes/js/codemirror/codemirror.min.js?ver=5.29.1-alpha-ee20357 HTTP/1.1" 200 585442
::1 - - [03/Feb/2018:15:43:03 +0800] "GET /wordpress/wp-includes/js/codemirror/csslint.js?ver=1.0.5 HTTP/1.1" 200 377627
::1 - - [03/Feb/2018:15:43:03 +0800] "GET /wordpress/wp-admin/js/widgets/media-image-widget.min.js?ver=4.9.2 HTTP/1.1" 200 2023
::1 - - [03/Feb/2018:15:43:03 +0800] "GET /wordpress/wp-admin/js/widgets/media-audio-widget.min.js?ver=4.9.2 HTTP/1.1" 200 1440
::1 - - [03/Feb/2018:15:43:03 +0800] "GET /wordpress/wp-admin/js/widgets/media-widgets.min.js?ver=4.9.2 HTTP/1.1" 200 14422
::1 - - [03/Feb/2018:15:43:03 +0800] "GET /wordpress/wp-admin/js/widgets/media-gallery-widget.min.js?ver=4.9.2 HTTP/1.1" 200 3779
::1 - - [03/Feb/2018:15:43:03 +0800] "GET /wordpress/wp-admin/js/editor.min.js?ver=4.9.2 HTTP/1.1" 200 13544
::1 - - [03/Feb/2018:15:43:03 +0800] "GET /wordpress/wp-admin/js/widgets/media-video-widget.min.js?ver=4.9.2 HTTP/1.1" 200 2705
::1 - - [03/Feb/2018:15:43:03 +0800] "GET /wordpress/wp-admin/js/widgets/text-widgets.min.js?ver=4.9.2 HTTP/1.1" 200 5924
::1 - - [03/Feb/2018:15:43:03 +0800] "GET /wordpress/wp-includes/js/codemirror/htmlhint.js?ver=0.9.14-xwp HTTP/1.1" 200 17742
::1 - - [03/Feb/2018:15:43:03 +0800] "GET /wordpress/wp-includes/js/codemirror/jshint.js?ver=2.9.5 HTTP/1.1" 200 1078444
::1 - - [03/Feb/2018:15:43:03 +0800] "GET /wordpress/wp-admin/js/widgets/custom-html-widgets.min.js?ver=4.9.2 HTTP/1.1" 200 5578
::1 - - [03/Feb/2018:15:42:56 +0800] "GET /wordpress/wp-admin/customize.php HTTP/1.1" 200 344347
